,nome,ruolo,costo_iniziale,fanta_media,gol_pg,assist_pg,ammonizioni_pg,xg_pg,titolarita_pct,cambio_squadra,upgrade_squadra,tipo_prestito,coach_bonus,coach_style,presenze,gol_subiti_pg,clean_sheet_pg,qualita_mercato,eta,prime_factor,presenze_pct,gk_defense_score,bonus_potential,transfer_effect,disponibilita,forma_recente_score,previsione_ia,_temporal_model,vip_tpm,vip_p90,vip_youth,vip_position,vip_tactical_role,vip_formula,vip_total,vip_score,bonus_rigorista,bonus_punizioni,score_selezione,injury_modifier,injury_type,calendar_diff
10,Darmian,D,10,6.3,0.04,0.06,0.18,0.03,0.7,1,-1,0,0.0,equilibrato,22.0,0.0,0.0,0.20833333333333334,34.0,0.29823409618142155,0.5789473684210527,0.0,0.15,-0.7,0.7,0.0,6.32,False,0.0,-0.0069,0.0,D,TERZINO_BLOCCATO,0.0,-0.0069,6.287,0.0,0.0,6.30392381,1.0,,3.0
11,Pavard,D,15,6.25,0.04,0.06,0.18,0.03,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.3125,26.0,0.9756109800648459,0.5789473684210527,0.0,0.15,0.0,0.7,0.0,6.49,False,0.0,-0.0069,0.0,D,TERZINO_BLOCCATO,0.0,-0.0069,6.456,0.0,0.0,6.47456984,1.0,,3.0
12,Cambiaso,D,11,6.35,0.04,0.06,0.18,0.03,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.22916666666666666,24.0,0.8007374029168081,0.5789473684210527,0.0,0.15,0.0,0.7,0.0,7.06,False,0.32,-0.0069,0.0,QUINTO_DUTTILE,TERZINO_BLOCCATO,0.0,0.3131,8.479,0.0,0.0,7.727521520000001,1.0,,3.0
13,Bani,D,5,6.1,0.04,0.06,0.18,0.03,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.10416666666666667,26.0,0.9756109800648459,0.5789473684210527,0.0,0.15,0.0,0.7,0.0,6.24,False,0.0,-0.0069,0.0,D,TERZINO_BLOCCATO,0.0,-0.0069,6.208,0.0,0.0,6.22508734,1.0,,3.0
14,Gatti,D,10,6.4,0.04,0.06,0.18,0.03,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.20833333333333334,26.0,0.9756109800648459,0.5789473684210527,0.0,0.15,0.0,0.7,0.0,6.36,False,0.0,-0.0069,0.0,D,TERZINO_BLOCCATO,0.0,-0.0069,6.332,0.0,0.0,6.34982859,1.0,,3.0
15,Calhanoglu,C,25,7.8,0.12,0.15,0.15,0.1,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.5208333333333334,31.0,0.6736384553447268,0.5789473684210527,0.0,0.61,0.0,0.7,0.0,5.92,False,0.14,0.0079,0.0,MEZZALA_ATT,MEZZALA_ATT,0.0,0.1479,8.792,0.38,0.08,6.184028080999999,0.7,infortunio,3.0
16,Koopmeiners,C,24,7.65,0.12,0.15,0.15,0.1,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.5,26.0,0.9756109800648459,0.5789473684210527,0.0,0.61,0.0,0.7,0.0,7.66,False,0.14,0.0079,0.0,MEZZALA_ATT,MEZZALA_ATT,0.0,0.1479,8.421,0.0,0.0,8.00196294,1.0,,3.0
17,Pulisic,C,22,7.75,0.12,0.15,0.15,0.1,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.4583333333333333,26.0,0.9756109800648459,0.5789473684210527,0.0,0.61,0.0,0.7,0.0,5.57,False,0.28,0.0079,0.0,ALA,MEZZALA_ATT,0.0,0.2879,9.439,0.0,0.0,6.054774558,0.7,infortunio,3.0
18,Gudmundsson,C,12,7.9,0.12,0.15,0.15,0.1,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.25,26.0,0.9756109800648459,0.5789473684210527,0.0,0.61,0.0,0.7,0.0,5.7,False,0.38,0.0079,0.0,TREQUARTISTA,MEZZALA_ATT,0.0,0.3879,10.125,0.0,0.0,6.3642020960000005,0.7,infortunio,3.0
19,Luis Alberto,C,20,6.95,0.12,0.15,0.15,0.1,0.7,1,0,0,0.0,equilibrato,22.0,0.0,0.0,0.4166666666666667,26.0,0.9756109800648459,0.5789473684210527,0.0,0.61,-0.1,0.7,0.0,7.4,False,0.14,0.0079,0.0,MEZZALA_ATT,MEZZALA_ATT,0.0,0.1479,8.133,0.0,0.0,7.72729363,1.0,,3.0
20,Felipe Anderson,C,19,6.8,0.12,0.15,0.15,0.1,0.7,1,0,1,0.0,equilibrato,22.0,0.0,0.0,0.3958333333333333,26.0,0.9756109800648459,0.5789473684210527,0.0,0.61,-0.30000000000000004,0.7,0.0,7.36,False,0.18,0.0079,0.0,ALA,MEZZALA_ATT,0.0,0.1879,8.279,0.0,0.0,7.77699594,1.0,,3.0
21,Colpani,C,10,7.1,0.12,0.15,0.15,0.1,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.20833333333333334,26.0,0.9756109800648459,0.5789473684210527,0.0,0.61,0.0,0.7,0.0,7.85,False,0.25,0.0079,0.0,ALA,MEZZALA_ATT,0.0,0.2579,9.168,0.0,0.0,8.45950924,1.0,,3.0
22,Ferguson,C,12,7.2,0.12,0.15,0.15,0.1,0.7,1,-1,1,0.0,equilibrato,22.0,0.0,0.0,0.25,26.0,0.9756109800648459,0.5789473684210527,0.0,0.61,-0.8999999999999999,0.7,0.0,5.23,False,0.14,0.0079,0.0,MEZZALA_ATT,MEZZALA_ATT,0.0,0.1479,8.214,0.0,0.0,5.463934966,0.7,infortunio,3.0
23,Rabiot,C,18,6.85,0.12,0.15,0.15,0.1,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.375,26.0,0.9756109800648459,0.5789473684210527,0.0,0.61,0.0,0.7,0.0,7.64,False,0.14,0.0079,0.0,MEZZALA_ATT,MEZZALA_ATT,0.0,0.1479,8.397,0.0,0.0,7.9789867999999995,1.0,,3.0
24,Barella,C,20,6.7,0.12,0.15,0.15,0.1,0.7,0,0,0,0.0,equilibrato,22.0,0.0,0.0,0.4166666666666667,27.0,1.0,0.5789473684210527,0.0,0.61,0.0,0.7,0.0,7.59,False,0.14,0.0079,0.0,MEZZALA_ATT,MEZZALA_ATT,0.0,0.1479,8.345,0.0,0.0,7.92990141,1.0,,3.0
25,Lautaro Martinez,A,45,8.95,0.35,0.15,0.1,0.3,0.65,0,0,0,0.0,equilibrato,20.0,0.0,0.0,0.9375,27.0,1.0,0.5263157894736842,0.0,1.525,0.0,0.65,0.0,8.51,False,0.0,0.0233,0.0,A,SECONDA_PUNTA,0.0,0.0233,8.499,0.15,0.0,8.573512860000001,1.0,,3.0
26,Vlahovic,A,38,8.2,0.35,0.15,0.1,0.3,0.65,0,0,0,0.0,equilibrato,20.0,0.0,0.0,0.7916666666666666,25.0,0.9059551911095096,0.5263157894736842,0.0,1.525,0.0,0.65,0.0,8.13,False,0.0,0.0233,0.0,A,SECONDA_PUNTA,0.0,0.0233,8.266,0.0,0.0,8.190856660000001,1.0,,3.0
27,Osimhen,A,48,7.85,0.35,0.15,0.1,0.3,0.65,0,0,0,0.0,equilibrato,20.0,0.0,0.0,1.0,26.0,0.9756109800648459,0.5263157894736842,0.0,1.525,0.0,0.65,0.0,8.43,False,0.0,0.0233,0.0,A,SECONDA_PUNTA,0.0,0.0233,8.57,0.0,0.0,8.49194667,1.0,,3.0
28,Giroud,A,32,7.95,0.35,0.15,0.1,0.3,0.65,0,0,0,0.0,equilibrato,20.0,0.0,0.0,0.6666666666666666,38.0,0.05040553336275363,0.5263157894736842,0.0,1.525,0.0,0.65,0.0,8.09,False,0.0,0.0233,0.0,A,SECONDA_PUNTA,0.0,0.0233,8.223,0.0,0.0,8.14856308,1.0,,3.0
29,Dybala,A,35,8.35,0.35,0.15,0.1,0.3,0.65,0,0,0,0.0,equilibrato,20.0,0.0,0.0,0.7291666666666666,31.0,0.6736384553447268,0.5263157894736842,0.0,1.525,0.0,0.65,0.0,6.02,False,0.2,0.0233,0.0,TREQUARTISTA,SECONDA_PUNTA,0.0,0.2233,9.861,0.0,0.0,6.424026693000001,0.7,infortunio,3.0
30,Zapata D.,A,25,7.7,0.35,0.15,0.1,0.3,0.65,0,0,0,0.0,equilibrato,20.0,0.0,0.0,0.5208333333333334,26.0,0.9756109800648459,0.5263157894736842,0.0,1.525,0.0,0.65,0.0,7.79,False,0.0,0.0233,0.0,A,SECONDA_PUNTA,0.0,0.0233,7.912,0.0,0.0,7.84042414,1.0,,3.0
31,Thuram,A,28,7.85,0.35,0.15,0.1,0.3,0.65,0,0,0,0.0,equilibrato,20.0,0.0,0.0,0.5833333333333334,26.0,0.9756109800648459,0.5263157894736842,0.0,1.525,0.0,0.65,0.0,7.87,False,0.0,0.0233,0.0,A,SECONDA_PUNTA,0.0,0.0233,7.998,0.0,0.0,7.926018290000001,1.0,,3.0
32,Scamacca,A,26,7.75,0.35,0.15,0.1,0.3,0.65,0,0,0,0.0,equilibrato,20.0,0.0,0.0,0.5416666666666666,26.0,0.9756109800648459,0.5263157894736842,0.0,1.525,0.0,0.65,0.0,5.47,False,0.0,0.0233,0.0,A,SECONDA_PUNTA,0.0,0.0233,7.94,0.0,0.0,5.508033902,0.7,infortunio,3.0
33,Lookman,A,27,7.9,0.35,0.15,0.1,0.3,0.65,0,0,0,0.0,equilibrato,20.0,0.0,0.0,0.5625,26.0,0.9756109800648459,0.5263157894736842,0.0,1.525,0.0,0.65,0.0,8.54,False,0.3,0.0233,0.0,ALA_TREQUARTISTA,SECONDA_PUNTA,0.0,0.3233,10.306,0.0,0.0,9.371585569999999,1.0,,3.0
34,Retegui,A,22,7.1,0.35,0.15,0.1,0.3,0.65,0,0,0,0.0,equilibrato,20.0,0.0,0.0,0.4583333333333333,26.0,0.9756109800648459,0.5263157894736842,0.0,1.525,0.0,0.65,0.0,7.7,False,0.0,0.0233,0.0,A,SECONDA_PUNTA,0.0,0.0233,7.826,0.0,0.0,7.75482999,1.0,,3.0
