id,nome,ruolo,costo,punti_scorsa_stagione,punti_previsti
182,Giocatore_182,A,43,9.99,10.08
183,Giocatore_183,P,18,4.74,4.94
184,Giocatore_184,P,1,5.4,5.23
185,Giocatore_185,P,10,4.52,4.74
186,Giocatore_186,D,38,6.09,6.53
187,Giocatore_187,P,17,6.44,6.31
188,Giocatore_188,C,49,7.23,6.89
189,Giocatore_189,P,4,5.83,5.76
190,Giocatore_190,C,57,6.22,6.32
191,Giocatore_191,D,24,6.01,6.47
192,Giocatore_192,C,35,7.45,7.21
193,Giocatore_193,C,8,8.06,8.53
194,Giocatore_194,C,39,6.58,7.08
195,Giocatore_195,P,5,5.51,6.02
196,Giocatore_196,C,60,7.86,7.11
197,Giocatore_197,A,20,9.23,9.52
198,Giocatore_198,A,124,7.48,8.01
199,Giocatore_199,D,36,6.52,6.4
